vehicle_code,division_name,fixed_asset_name,model,plate,chassis,model_year,ownership,investor_name,purchase_date,purchase_price_aed,down_payment_aed,finance_bank,loan_amount_aed,monthly_emi_aed,loan_start,loan_months,profit_rate_pct,insurer,insurance_expiry,registration_expiry,daily_rate_aed,weekly_rate_aed,monthly_rate_aed,salik_tag_no,status,notes
V-001,V-001 H 82490 Toyota Fortuner,V-001 H 82490 Toyota Fortuner,Toyota Fortuner,H 82490,MHFDX8FS5R0134718,2024,Company (financed),,,,,EMIRATES ISLAMIC BANK,,,,,,ADAMJEE INSURANCE COMPANY LTD (DUBAI,22/01/25,,,,,,Active,
V-002,V-002 M 28158 Kia Sportage,V-002 M 28158 Kia Sportage,Kia Sportage,M 28158,U5YPU81D8SL300215,2025,Company (financed),,,,,EMIRATES ISLAMIC BANK,,,,,,ADAMJEE INSURANCE COMPANY LTD (DUBAI,03/10/25,,,,,,Active,
V-003,V-003 K 91297 Nissan Patrol,V-003 K 91297 Nissan Patrol,Nissan Patrol,K 91297,JN8BY2NY2P9415584,2023,Company (financed),,,,,FIRST ABU DHABI BANK P.J.S.C,,,,,,ADAMJEE INSURANCE COMPANY LTD (DUBAI,03/10/25,,,,,,Active,
V-004,V-004 I 64842 Cadillac Ct4,V-004 I 64842 Cadillac Ct4,Cadillac Ct4,I 64842,1G6DK5RK0M0120550,2021,Company,,,,,,,,,,,ADAMJEE INSURANCE COMPANY LTD (DUBAI,08/10/25,,,,,,Active,
V-005,V-005 V 52893 Exeed Lx,V-005 V 52893 Exeed Lx,Exeed Lx,V 52893,LVTDB21B7SE006695,2025,Company (financed),,,,,EMIRATES ISLAMIC BANK,,,,,,ADAMJEE INSURANCE COMPANY LTD (DUBAI,15/10/25,,,,,,Active,
V-006,V-006 13006 CC Nissan Patrol Le Platinum City,V-006 13006 CC Nissan Patrol Le Platinum City,Nissan Patrol Le Platinum City,13006 CC,JN8AY2NY1R9497550,2024,Company (financed),,,,,EMIRATES ISLAMIC BANK,,,,,,ADAMJEE INSURANCE COMPANY LTD (DUBAI,15/10/25,,,,,,Active,
V-007,V-007 77078 Motorcycle Honda Unicorn,V-007 77078 Motorcycle Honda Unicorn,Honda Unicorn,77078 Motorcycle,ME4KC20F2NA005383,2022,Company,,,,,,,,,,,ADAMJEE INSURANCE COMPANY LTD (DUBAI,12/11/25,,,,,,Active,
V-008,V-008 O 86514 Jac J7,V-008 O 86514 Jac J7,Jac J7,O 86514,LJ12FKT34R4003266,2024,Company (financed),,,,,ﺕﺍﺭﺎﻴﺴﻠﻟ ﺭﻮﺘﺒﺤﻟﺍ ﺔﻛﺮﺷ,,,,,,ADAMJEE INSURANCE COMPANY LTD (DUBAI,24/11/25,,,,,,Active,
V-009,V-009 81754 CC Toyota Highlander Vxr,V-009 81754 CC Toyota Highlander Vxr,Toyota Highlander Vxr,81754 CC,5TDLB3CH6PS595793,2023,Company,,,,,,,,,,,DUBAI INSURANCE (.COMPANY(P.S.C,25/12/25,,,,,,Active,
V-010,V-010 81793 CC Lexus Es 300H,V-010 81793 CC Lexus Es 300H,Lexus Es 300H,81793 CC,JTHB21B1XP2225554,2023,Company,,,,,,,,,,,DUBAI INSURANCE (.COMPANY(P.S.C,25/12/25,,,,,,Active,
