Model,Category,Year,Est. Value (AED),Term (mo),Down 10% (AED),LTO Monthly (AED),LTO Total (AED),LTO Margin/mo (AED),Flexi Monthly (AED),Flexi Buyout (AED),Flexi Margin/mo (AED),Cost Floor/mo (AED)
MG MG3,Economy,2025,58000,12,5800,5725,74499,4229,2934,31900,1438,1496
MG MG3,Economy,2025,58000,24,5800,3441,88389,1945,2426,23200,930,1496
MG MG3,Economy,2025,58000,36,5800,2680,102278,1184,2257,14500,761,1496
MG MG3,Economy,2025,58000,48,5800,2299,116168,803,2172,5800,676,1496
Suzuki Dzire,Economy,2024,55000,12,5500,5445,70842,3959,2798,30250,1312,1486
Suzuki Dzire,Economy,2024,55000,24,5500,3280,84208,1794,2317,22000,831,1486
Suzuki Dzire,Economy,2024,55000,36,5500,2558,97575,1072,2157,13750,671,1486
Suzuki Dzire,Economy,2024,55000,48,5500,2197,110941,711,2076,5500,590,1486
Suzuki Baleno,Economy,2025,58000,12,5800,5725,74499,4229,2934,31900,1438,1496
Suzuki Baleno,Economy,2025,58000,24,5800,3441,88389,1945,2426,23200,930,1496
Suzuki Baleno,Economy,2025,58000,36,5800,2680,102278,1184,2257,14500,761,1496
Suzuki Baleno,Economy,2025,58000,48,5800,2299,116168,803,2172,5800,676,1496
Suzuki Ciaz,Economy,2024,62000,12,6200,6098,79377,4588,3114,34100,1604,1510
Suzuki Ciaz,Economy,2024,62000,24,6200,3657,93963,2147,2572,24800,1062,1510
Suzuki Ciaz,Economy,2024,62000,36,6200,2843,108550,1333,2391,15500,881,1510
Suzuki Ciaz,Economy,2024,62000,48,6200,2436,123136,926,2301,6200,791,1510
MG MG5,Economy,2024,70000,12,7000,6844,89131,4908,3476,38500,1540,1936
MG MG5,Economy,2024,70000,24,7000,4088,105112,2152,2863,28000,927,1936
MG MG5,Economy,2024,70000,36,7000,3169,121093,1233,2659,17500,723,1936
MG MG5,Economy,2024,70000,48,7000,2710,137074,774,2557,7000,621,1936
JAC S3,Compact SUV,2024,65000,12,6500,6378,83035,4725,3250,35750,1597,1653
JAC S3,Compact SUV,2024,65000,24,6500,3819,98144,2166,2681,26000,1028,1653
JAC S3,Compact SUV,2024,65000,36,6500,2965,113254,1312,2491,16250,838,1653
JAC S3,Compact SUV,2024,65000,48,6500,2539,128363,886,2397,6500,744,1653
JAC JS4,Compact SUV,2024,75000,12,7500,7311,95228,5576,3701,41250,1966,1735
JAC JS4,Compact SUV,2024,75000,24,7500,4358,112080,2623,3045,30000,1310,1735
JAC JS4,Compact SUV,2024,75000,36,7500,3373,128933,1638,2826,18750,1091,1735
JAC JS4,Compact SUV,2024,75000,48,7500,2881,145785,1146,2717,7500,982,1735
JAC JS6,Compact SUV,2024,85000,12,8500,8243,107421,6475,4153,46750,2385,1768
JAC JS6,Compact SUV,2024,85000,24,8500,4897,126016,3129,3409,34000,1641,1768
JAC JS6,Compact SUV,2024,85000,36,8500,3781,144612,2013,3161,21250,1393,1768
JAC JS6,Compact SUV,2024,85000,48,8500,3223,163207,1455,3037,8500,1269,1768
JAC J7,Compact SUV,2024,70000,12,7000,6844,89131,5239,3476,38500,1871,1605
JAC J7,Compact SUV,2024,70000,24,7000,4088,105112,2483,2863,28000,1258,1605
JAC J7,Compact SUV,2024,70000,36,7000,3169,121093,1564,2659,17500,1054,1605
JAC J7,Compact SUV,2024,70000,48,7000,2710,137074,1105,2557,7000,952,1605
Toyota Raize,Compact SUV,2024,75000,12,7500,7311,95228,5317,3701,41250,1707,1994
Toyota Raize,Compact SUV,2024,75000,24,7500,4358,112080,2364,3045,30000,1051,1994
Toyota Raize,Compact SUV,2024,75000,36,7500,3373,128933,1379,2826,18750,832,1994
Toyota Raize,Compact SUV,2024,75000,48,7500,2881,145785,887,2717,7500,723,1994
Toyota Rush,Compact SUV,2024,95000,12,9500,9176,119614,6953,4604,52250,2381,2223
Toyota Rush,Compact SUV,2024,95000,24,9500,5436,139952,3213,3773,38000,1550,2223
Toyota Rush,Compact SUV,2024,95000,36,9500,4189,160291,1966,3496,23750,1273,2223
Toyota Rush,Compact SUV,2024,95000,48,9500,3565,180629,1342,3357,9500,1134,2223
MG ZS,Compact SUV,2024,75000,12,7500,7311,95228,5358,3701,41250,1748,1953
MG ZS,Compact SUV,2024,75000,24,7500,4358,112080,2405,3045,30000,1092,1953
MG ZS,Compact SUV,2024,75000,36,7500,3373,128933,1420,2826,18750,873,1953
MG ZS,Compact SUV,2024,75000,48,7500,2881,145785,928,2717,7500,764,1953
MG GT,Compact SUV,2024,80000,12,8000,7777,101324,5807,3927,44000,1957,1970
MG GT,Compact SUV,2024,80000,24,8000,4627,119048,2657,3227,32000,1257,1970
MG GT,Compact SUV,2024,80000,36,8000,3577,136772,1607,2994,20000,1024,1970
MG GT,Compact SUV,2024,80000,48,8000,3052,154496,1082,2877,8000,907,1970
Suzuki Ertiga,Family MPV,2025,72000,12,7200,7031,91570,5488,3566,39600,2023,1543
Suzuki Ertiga,Family MPV,2025,72000,24,7200,4196,107899,2653,2936,28800,1393,1543
Suzuki Ertiga,Family MPV,2025,72000,36,7200,3251,124229,1708,2726,18000,1183,1543
